唯一id,所属选词,文本值
id,mis_word,word
int,int,string
101,100101,列宁鸽了的
102,100101,烈宁格勒的
103,100102,面包断供
104,100102,棉包供应
105,100103,预计僵于
106,100103,玉米浆于
107,100104,明月
108,100104,夏日
109,100105,恢复反常
110,100105,反复无常
111,100106,近日
112,100106,今亡
113,100107,摸死磕
114,100107,没斯扣
115,100108,刁民
116,100108,屁民
117,100109,派对
118,100109,排雷
119,100110,铁序良好
120,100110,秩序低下
121,100111,煤油
122,100111,霉有
123,100112,混乱花生
124,100112,婚乱发生
125,100113,肛铁
126,100113,钢饼
127,100114,工肠
128,100114,工广
129,100115,劳保废品
130,100115,捞宝用品
131,100116,已暗计划
132,100116,已按记画
133,100117,全不
134,100117,全无
135,100118,发胖至
136,100118,罚放至
137,100119,一线王人
138,100119,胰腺工人
139,100120,总输记
140,100120,肿书记
141,100121,再次申冤
142,100121,再次呻吟
143,100122,工人嫁鸡
144,100122,工人劫机
145,100123,对于国嫁的
146,100123,对于果嫁的
147,100124,领导地胃
148,100124,领倒地位
149,100125,永冤
150,100125,永圆
151,100126,不废
152,100126,不毁
153,100127,洞腰
154,100127,冻摇
155,100128,钱认
156,100128,欠人
157,100129,克格脖
158,100129,客各勃
159,100130,腐主席
160,100130,负主席
161,100131,尼古拉爷夫痿奇
162,100131,泥古拉噎夫维奇
163,100132,因通敌叛国醉
164,100132,因通敌拌国罪
165,100133,于金日下午
166,100133,于今亡下午
167,100134,在奇住所
168,100134,在歧住所
169,100135,糟到逮捕
170,100135,遭到逮户
171,100136,酥军
172,100136,输军
173,100137,在阿富旱地区
174,100137,在阿福憨地区
175,100138,对反政府舞装的
176,100138,对饭政府武装的
177,100139,战虐
178,100139,赞掠
179,100140,军事刑动
180,100140,菌事行动
181,100141,已娶得
182,100141,已去得
183,100142,不愤
184,100142,不忿
185,100143,芥断性
186,100143,截断性
187,100144,神利
188,100144,省利
189,100145,受军师行动
190,100145,瘦军事行洞
191,100146,隐响
192,100146,硬响
193,100147,列宁鸽了
194,100147,烈宁格勒
195,100148,依及
196,100148,遗及
197,100149,鸡腐的
198,100149,饥辅的
199,100150,面包硬拱
200,100150,面包工赢
201,100151,预计将干
202,100151,浴汁浆鱼
203,100152,瞑日
204,100152,铭日
205,100153,恢复政常
206,100153,灰复饭常
207,100154,卓越的
208,100154,可笑的
209,100155,改革者
210,100155,开拓者
211,100156,外交家
212,100156,画家
213,100157,战略家
214,100157,音乐家
215,100158,哲学家
216,100158,艺术家
217,100159,歌唱家
218,100159,老吃家
219,100160,全市最高领袖
220,100160,全球国家领袖
221,100161,亚历山大
222,100161,弗米拉基尔
223,100162,同事
224,100162,同学
225,100163,已于今日
226,100163,已于昨日
227,100164,发表重要声明
228,100164,发表连篇废话
229,100165,将于后日
230,100165,自今日起
231,100166,在集体场所
232,100166,在公开区域
233,100167,分享或接收
234,100167,收听或传播
235,100168,未经核实的
236,100168,未经登记的
237,100169,故事
238,100169,新闻
239,100170,将会
240,100170,可能
241,100171,背叛国家罪
242,100171,破坏治安罪
243,100172,定罪
244,100172,处罚
245,100173,最严
246,100173,最轻
247,100174,将执行
248,100174,将判定
249,100175,火刑
250,100175,无罪
251,100176,全世界
252,100176,全州
253,100177,大庆典
254,100177,联欢会
255,100178,计划明天开始
256,100178,预计今天启动
257,100179,气象报告
258,100179,气候预警
259,100180,判断为
260,100180,预测为
261,100181,大雨
262,100181,小雨
263,100182,但实际气象
264,100182,但最终天气
265,100183,预计
266,100183,将于
267,100184,审批通过后
268,100184,中央决定后
269,100185,或变成
270,100185,会变为
271,100186,暴雪
272,100186,冰雹
273,100187,受气候条件
274,100187,受环境条件
275,100188,波动
276,100188,干扰
277,100189,斯大林格勒
278,100189,加里宁格勒
279,100190,哈尔科夫
280,100190,敖德萨
281,100191,以及里加的
282,100191,第比利斯的
283,100192,粮食供应
284,100192,雪糕供应
285,100193,可能将在
286,100193,计划将在
287,100194,明天
288,100194,昨天
289,100195,恢复稳定
290,100195,彻底断供
291,100196,经过持续
292,100196,历经长期
293,100197,5小时的会议
294,100197,7天的会议
295,100198,中心政治局
296,100198,中央管理局
297,100199,表示
298,100199,提出
299,100200,再启动一次
300,100200,再安排一轮
301,100201,为期3年的
302,100201,为期10天的
303,100202,专题研讨
304,100202,内部协调
305,100203,来分析
306,100203,来评估
307,100204,下一轮协商的
308,100204,下一次活动的
309,100205,具体地点
310,100205,具体议程
311,100206,和时间
312,100206,和地点
313,100207,基于过去
314,100207,根据未来
315,100208,6年的
316,100208,66天的
317,100209,企业运营数据汇总
318,100209,能源消耗监测结果
319,100210,人均DPS
320,100210,人均GPS
321,100211,同比增长500%
322,100211,同比增长2000%
323,100212,城市文化发展
324,100212,工业生产体系
325,100213,波动明显
326,100213,明显改善
327,100214,在全国
328,100214,在地球
329,100215,关键区域中
330,100215,重点行业中
331,100216,排名靠后
332,100216,位于中游
333,100217,在完成了
334,100217,在结束了
335,100218,对爱爱尼亚
336,100218,对爱尔尼亚
337,100219,拉稀维亚
338,100219,拉拉维亚
339,100220,哈吉米斯坦
340,100220,吉尔吉斯斯坦
341,100221,和土库库斯坦
342,100221,和土耳其斯坦
343,100222,的短期停留后
344,100222,的文化交流后
345,100223,各联盟国
346,100223,各轴心国
347,100224,少数表示
348,100224,部分认为
349,100225,明确支持
350,100225,绝对反对
351,100226,弗拉拉米尔
352,100226,弗哈基米尔
353,100227,总书记的管理
354,100227,总书记的独裁
355,100228,受国外
356,100228,受高层
357,100229,多数
358,100229,全部
359,100230,叛乱分子的影响
360,100230,投机分子的破坏
361,100231,列夫格勒
362,100231,列宁格桑
363,100232,基法
364,100232,基里
365,100233,塔拉仕
366,100233,塔里仕
367,100234,以及叶卡琳娜堡
368,100234,以及卡珊琳娜堡
369,100235,啤酒供应
370,100235,黄油供应
371,100236,预计会在
372,100236,基本不会
373,100237,上周
374,100237,明年
375,100238,永久断供
376,100238,暂时正常
377,100239,受邪恶资本主义
378,100239,受邪恶独裁主义
379,100240,经济制裁
380,100240,经济条款
381,100241,列夫格勒
382,100241,列宁格桑
383,100242,基法
384,100242,基里
385,100243,塔拉仕
386,100243,塔里仕
387,100244,叶卡琳娜堡
388,100244,卡珊琳娜堡
389,100245,以及明斯科尔
390,100245,以及明斯克斯
391,100246,糖果供应
392,100246,红酒供应
393,100247,一定会在
394,100247,不太可能
395,100248,下辈子
396,100248,下星期
397,100249,恢复断供
398,100249,永久正常
399,100250,老头子
400,100250,一位农民
401,100251,在亚特兰大
402,100251,在莫希科区
403,100252,狠狠贬低了
404,100252,轻蔑鄙视了
405,100253,制作奶酪的
406,100253,种植大米的
407,100254,悲惨结果
408,100254,日常工作
409,100255,老变态
410,100255,老吃家
411,100256,激情接触了
412,100256,狂热欢迎了
413,100257,一个老头
414,100257,眼镜男人
415,100258,单方面
416,100258,一群人
417,100259,拒绝表现
418,100259,激烈反抗
419,100260,淡然的
420,100260,极限的
421,100261,基情碰撞
422,100261,爱意绵绵
423,100262,丘吉尔
424,100262,阿道夫
425,100263,总统
426,100263,元首
427,100264,看上去是
428,100264,让很多人
429,100265,一个
430,100265,觉得
431,100266,可笑的
432,100266,是可笑的
433,100267,肥猪
434,100267,失败者
